| laptop     | vast.map   |     - |       54.0 ms |
| laptop     | vast.map   |     - |       57.0 ms |
| laptop     | vast.map   |     - |       59.0 ms |
| laptop     | vast.map   |     - |       75.0 ms |
| laptop     | vast.map   |     - |       57.0 ms |
| laptop     | vast.map   |     - |       55.0 ms |
| laptop     | vast.map   |     - |       58.0 ms |
| laptop     | vast.map   |     - |       69.0 ms |
| laptop     | vast.map   |     - |       74.0 ms |
| laptop     | vast.map   |     - |       76.0 ms |
| laptop     | vast.map   |    20 |      120.0 ms |
| laptop     | vast.map   |    20 |      115.0 ms |
| laptop     | vast.map   |    20 |      107.0 ms |
| laptop     | vast.map   |    20 |      108.0 ms |
| laptop     | vast.map   |    20 |      113.0 ms |
| laptop     | vast.map   |    20 |      109.0 ms |
| laptop     | vast.map   |    20 |      115.0 ms |
| laptop     | vast.map   |    20 |      119.0 ms |
| laptop     | vast.map   |    20 |      115.0 ms |
| laptop     | vast.map   |    20 |      113.0 ms |
| laptop     | vast.map   |    40 |      114.0 ms |
| laptop     | vast.map   |    40 |      118.0 ms |
| laptop     | vast.map   |    40 |       87.0 ms |
| laptop     | vast.map   |    40 |       95.0 ms |
| laptop     | vast.map   |    40 |      100.0 ms |
| laptop     | vast.map   |    40 |      112.0 ms |
| laptop     | vast.map   |    40 |       95.0 ms |
| laptop     | vast.map   |    40 |      116.0 ms |
| laptop     | vast.map   |    40 |      108.0 ms |
| laptop     | vast.map   |    40 |      112.0 ms |
